id,owner,legalPersonID,isDelivery,includeInDalilAlaemal,includeInInAccountingRecords
1,1,1,True,False,True
2,1,2,True,False,True
3,1,3,True,True,True
4,1,63,True,False,True
5,1,90,True,True,False
6,1,91,False,True,False
7,1,92,False,True,False
8,1,93,False,True,False
9,1,94,True,True,False
10,1,95,True,True,False
11,1,96,True,True,False
12,1,97,True,True,False
13,1,98,True,True,False
14,1,99,True,True,False
15,1,100,False,True,False
16,1,101,True,True,False
17,1,102,True,True,False
18,1,103,True,True,False
19,1,104,True,True,False
20,1,105,True,True,False
21,1,106,False,True,False
22,1,107,True,True,False
23,1,108,True,True,False
24,1,109,True,True,False
25,1,110,True,True,False
26,1,111,False,True,False
27,1,112,False,True,False
28,1,113,False,True,False
29,1,114,False,True,False
30,1,115,True,True,False
31,1,116,True,True,False
32,1,117,True,True,False
33,1,118,True,True,False
34,1,119,True,True,False
35,1,120,True,True,False
36,1,121,False,True,False
37,1,122,False,True,False
38,1,123,True,True,False
39,1,124,False,True,False
40,1,125,False,True,False
41,1,126,True,True,False
42,1,127,True,True,False
43,1,128,True,True,False
44,1,129,True,True,False
45,1,130,True,True,False
46,1,131,True,True,False
47,1,132,True,True,False
48,1,133,True,True,False
49,1,134,True,True,False
50,1,135,True,True,False
51,1,136,True,True,False
52,1,137,False,True,False
53,1,138,True,True,False
54,1,139,True,True,False
55,1,140,True,True,False
56,1,141,True,True,False
57,1,142,True,True,False
58,1,143,True,True,False
59,1,144,False,True,False
60,1,145,True,True,False
61,1,146,True,True,False
62,1,147,True,True,False
63,1,148,True,True,False
64,1,149,True,True,False
65,1,150,True,True,False
66,1,151,True,True,False
67,1,152,True,True,False
68,1,153,False,True,False
69,1,154,True,True,False
70,1,155,True,True,False
71,1,159,True,True,False
72,1,160,True,True,False
73,1,161,True,True,False
74,1,162,True,True,False
75,1,163,True,True,False
76,1,164,True,True,False
77,1,165,True,True,False
78,1,166,True,True,False
79,1,167,True,True,False
80,1,168,True,True,False
81,1,169,True,True,False
82,1,170,True,True,False
83,1,171,True,True,False
84,1,172,True,True,False
85,1,173,True,True,False
86,1,174,True,True,False
87,1,175,True,True,False
88,1,176,True,True,False
89,1,177,True,True,False
90,1,178,True,True,False
91,1,179,True,True,False
92,1,180,True,True,False
93,1,181,True,True,False
94,1,182,True,True,False
95,1,183,True,True,False
96,1,184,True,True,False
97,1,185,True,True,False
98,1,186,True,True,False
99,1,187,True,True,False
100,1,188,True,True,False
101,1,189,True,True,False
102,1,190,True,True,False
103,1,191,True,True,False
104,1,192,True,True,False
105,1,193,True,True,False
106,1,194,True,True,False
107,1,195,True,True,False
108,1,196,True,True,False
109,1,198,True,True,False
110,1,199,True,True,False
111,1,200,True,True,False
112,1,201,True,True,False
113,1,202,True,True,False
114,1,203,True,True,False
115,1,204,True,True,False
116,1,205,True,True,False
117,1,206,True,True,False
118,1,207,True,True,False
119,1,208,False,True,False
120,1,209,True,True,False
121,1,210,True,True,False
122,1,211,True,True,False
123,1,212,True,True,False
124,1,213,True,True,False
125,1,214,True,True,False
126,1,215,True,True,False
127,1,216,True,True,False
128,1,217,True,True,False
129,1,218,True,True,False
130,1,219,True,True,False
131,1,220,True,True,False
132,1,221,True,True,False
133,1,222,True,True,False
134,1,223,True,True,False
135,1,224,True,True,False
136,1,225,True,True,False
137,1,226,True,True,False
138,1,227,True,True,False
139,1,228,True,True,False
140,1,229,True,True,False
141,1,230,True,True,False
142,1,231,True,True,False
143,1,232,True,True,False
144,1,233,True,True,False
